Name	Type	Subtype	CMC	Power	Toughness	Text	Sets
Dong Zhou, the Tyrant	Creature	Human Soldier	5	3	3	When Dong Zhou, the Tyrant enters the battlefield, target creature an opponent controls deals damage equal to its power to that player.	PTK ME3
Morphling	Creature	Shapeshifter	5	3	3	{U}: Untap Morphling. {U}: Morphling gains flying until end of turn. {U}: Morphling gains shroud until end of turn. (It can't be the target of spells or abilities.) {1}: Morphling gets +1/-1 until end of turn. {1}: Morphling gets -1/+1 until end of turn.	pJGP USG VMA
Plumeveil	Creature	Elemental	3	4	4	Flash Defender, flying	SHM CMD MMA
Merfolk Seastalkers	Creature	Merfolk Scout	4	2	3	Islandwalk (This creature can't be blocked as long as defending player controls an Island.) {2}{U}: Tap target creature without flying.	ZEN
Caregiver	Creature	Human Cleric	1	1	1	{W}, Sacrifice a creature: Prevent the next 1 damage that would be dealt to target creature or player this turn.	RAV
Roofstalker Wight	Creature	Zombie	2	2	1	{1}{U}: Roofstalker Wight gains flying until end of turn.	RAV
Righteous Avengers	Creature	Human Soldier	5	3	1	Plainswalk (This creature can't be blocked as long as defending player controls a Plains.)	LEG MED
Will-Forged Golem	Artifact Creature	Golem	6	4	4	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)	M15
Soratami Mirror-Guard	Creature	Moonfolk Wizard	4	3	1	Flying {2}, Return a land you control to its owner's hand: Target creature with power 2 or less can't be blocked this turn.	CHK
Enlisted Wurm	Creature	Wurm	6	5	5	Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)	ARB PC2
Celestial Crusader	Creature	Spirit	4	2	2	Flash (You may cast this spell any time you could cast an instant.) Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.) Flying Other white creatures get +1/+1.	TSP DDF C14
Tree Monkey	Creature	Ape	1	1	1	Reach (This creature can block creatures with flying.)	PO2 9ED
Broodhunter Wurm	Creature	Wurm	4	4	3		BFZ
Carrier Pigeons	Creature	Bird	4	1	1	Flying When Carrier Pigeons enters the battlefield, draw a card at the beginning of the next turn's upkeep.	ALL
Chasm Guide	Creature	Goblin Scout Ally	4	3	2	Rally — Whenever Chasm Guide or another Ally enters the battlefield under your control, creatures you control gain haste until end of turn.	BFZ
Volatile Rig	Artifact Creature	Construct	4	4	4	Trample Volatile Rig attacks each turn if able. Whenever Volatile Rig is dealt damage, flip a coin. If you lose the flip, sacrifice Volatile Rig. When Volatile Rig dies, flip a coin. If you lose the flip, it deals 4 damage to each creature and each player.	RTR
Seeker of the Way	Creature	Human Warrior	2	2	2	Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever you cast a noncreature spell, Seeker of the Way gains lifelink until end of turn.	KTK
Bloodstoke Howler	Creature	Beast	6	3	4	Morph {6}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Bloodstoke Howler is turned face up, Beast creatures you control get +3/+0 until end of turn.	LGN
Teferi's Honor Guard	Creature	Human Knight	3	2	2	Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) {U}{U}: Teferi's Honor Guard phases out. (While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)	VIS
Bounteous Kirin	Creature	Kirin Spirit	7	4	4	Flying Whenever you cast a Spirit or Arcane spell, you may gain life equal to that spell's converted mana cost.	SOK
Blind Zealot	Creature	Human Cleric	3	2	2	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.) Whenever Blind Zealot deals combat damage to a player, you may sacrifice it. If you do, destroy target creature that player controls.	NPH
Tangle Golem	Artifact Creature	Golem	7	5	4	Affinity for Forests (This spell costs {1} less to cast for each Forest you control.)	DST
Geist Trappers	Creature	Human Warrior	5	3	5	Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.) As long as Geist Trappers is paired with another creature, both creatures have reach.	AVR
Mossbridge Troll	Creature	Troll	7	5	5	If Mossbridge Troll would be destroyed, regenerate it. Tap any number of untapped creatures you control other than Mossbridge Troll with total power 10 or greater: Mossbridge Troll gets +20/+20 until end of turn.	SHM
Thing from the Deep	Creature	Leviathan	9	9	9	Whenever Thing from the Deep attacks, sacrifice it unless you sacrifice an Island.	POR ME4
Shriek Raptor	Creature	Bird	5	2	3	Flying Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)	NPH
Cradle Guard	Creature	Treefolk	3	4	4	Trample Echo {1}{G}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)	USG
Treetop Scout	Creature	Elf Scout	1	1	1	Treetop Scout can't be blocked except by creatures with flying.	SCG
Deftblade Elite	Creature	Human Soldier	1	1	1	Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.) {1}{W}: Prevent all combat damage that would be dealt to and dealt by Deftblade Elite this turn.	LGN VMA
Axelrod Gunnarson	Creature	Giant	8	5	5	Trample Whenever a creature dealt damage by Axelrod Gunnarson this turn dies, you gain 1 life and Axelrod deals 1 damage to target player.	LEG CHR ME3
Lyzolda, the Blood Witch	Creature	Human Cleric	3	3	1	{2}, Sacrifice a creature: Lyzolda, the Blood Witch deals 2 damage to target creature or player if the sacrificed creature was red. Draw a card if the sacrificed creature was black.	DIS
Spectral Force	Creature	Elemental Spirit	5	8	8	Trample Whenever Spectral Force attacks, if defending player controls no black permanents, it doesn't untap during your next untap step.	TSP
Palace Familiar	Creature	Bird	2	1	1	Flying When Palace Familiar dies, draw a card.	DTK
Ordruun Veteran	Creature	Minotaur Soldier	4	3	1	Battalion — Whenever Ordruun Veteran and at least two other creatures attack, Ordruun Veteran gains double strike until end of turn. (It deals both first-strike and regular combat damage.)	GTC
Wort, Boggart Auntie	Creature	Goblin Shaman	4	3	3	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) At the beginning of your upkeep, you may return target Goblin card from your graveyard to your hand.	LRW
Demonlord of Ashmouth	Creature	Demon	4	5	4	Flying When Demonlord of Ashmouth enters the battlefield, exile it unless you sacrifice another creature. Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	AVR
Dominus of Fealty	Creature	Spirit Avatar	5	4	4	Flying At the beginning of your upkeep, you may gain control of target permanent until end of turn. If you do, untap it and it gains haste until end of turn.	EVE CMD
Bloodhall Ooze	Creature	Ooze	1	1	1	At the beginning of your upkeep, if you control a black permanent, you may put a +1/+1 counter on Bloodhall Ooze. At the beginning of your upkeep, if you control a green permanent, you may put a +1/+1 counter on Bloodhall Ooze.	CON
Masticore	Artifact Creature	Masticore	4	4	4	At the beginning of your upkeep, sacrifice Masticore unless you discard a card. {2}: Masticore deals 1 damage to target creature. {2}: Regenerate Masticore.	UDS V10 VMA
Crimson Acolyte	Creature	Human Cleric	2	1	1	Protection from red {W}: Target creature gains protection from red until end of turn.	INV
Fungusaur	Creature	Fungus Lizard	4	2	2	Whenever Fungusaur is dealt damage, put a +1/+1 counter on it.	LEA LEB 2ED CED CEI 3ED 4ED 5ED 8ED
Walking Dream	Creature	Illusion	4	3	3	Walking Dream can't be blocked. Walking Dream doesn't untap during your untap step if an opponent controls two or more creatures.	STH
Orim, Samite Healer	Creature	Human Cleric	3	1	3	{T}: Prevent the next 3 damage that would be dealt to target creature or player this turn.	TMP TPR
Ballyrush Banneret	Creature	Kithkin Soldier	2	2	1	Kithkin spells and Soldier spells you cast cost {1} less to cast.	MOR
Wood Sage	Creature	Human Druid	2	1	1	{T}: Name a creature card. Reveal the top four cards of your library and put all of them with that name into your hand. Put the rest into your graveyard.	TMP CNS TPR
Copper Gnomes	Artifact Creature	Gnome	2	1	1	{4}, Sacrifice Copper Gnomes: You may put an artifact card from your hand onto the battlefield.	USG
Overtaker	Creature	Merfolk Spellshaper	2	1	1	{3}{U}, {T}, Discard a card: Untap target creature and gain control of it until end of turn. That creature gains haste until end of turn.	pPRE MMQ
Scute Mob	Creature	Insect	1	1	1	At the beginning of your upkeep, if you control five or more lands, put four +1/+1 counters on Scute Mob.	ZEN MM2 DDP
Scion of Glaciers	Creature	Elemental	4	2	5	{U}: Scion of Glaciers gets +1/-1 until end of turn.	KTK
Faerie Miscreant	Creature	Faerie Rogue	1	1	1	Flying (This creature can't be blocked except by creatures with flying or reach.) When Faerie Miscreant enters the battlefield, if you control another creature named Faerie Miscreant, draw a card.	ORI
Flailing Soldier	Creature	Human Soldier	1	2	2	{1}: Flailing Soldier gets +1/+1 until end of turn. Any player may activate this ability. {1}: Flailing Soldier gets -1/-1 until end of turn. Any player may activate this ability.	MMQ
Attended Knight	Creature	Human Knight	3	2	2	First strike (This creature deals combat damage before creatures without first strike.) When Attended Knight enters the battlefield, put a 1/1 white Soldier creature token onto the battlefield.	M13
Sower of Temptation	Creature	Faerie Wizard	4	2	2	Flying When Sower of Temptation enters the battlefield, gain control of target creature for as long as Sower of Temptation remains on the battlefield.	LRW
Maelstrom Archangel	Creature	Angel	5	5	5	Flying Whenever Maelstrom Archangel deals combat damage to a player, you may cast a nonland card from your hand without paying its mana cost.	CON
Spawn of Rix Maadi	Creature	Horror	5	5	3	Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)	RTR
Deepcavern Imp	Creature	Imp Rebel	3	2	2	Flying, haste Echo—Discard a card. (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)	FUT MMA
Norwood Ranger	Creature	Elf Scout	1	1	2		PO2 S99 8ED 9ED
Dragonlair Spider	Creature	Spider	6	5	6	Reach Whenever an opponent casts a spell, put a 1/1 green Insect creature token onto the battlefield.	PC2 CM1
Whirling Dervish	Creature	Human Monk	2	1	1	Protection from black At the beginning of each end step, if Whirling Dervish dealt damage to an opponent this turn, put a +1/+1 counter on it.	LEG 4ED RQS ITP 5ED pSUS TSB
Vedalken Mastermind	Creature	Vedalken Wizard	2	1	2	{U}, {T}: Return target permanent you control to its owner's hand.	5DN 10E
Rotting Rats	Creature	Zombie Rat	2	1	1	When Rotting Rats enters the battlefield, each player discards a card. Unearth {1}{B} ({1}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)	CON HOP
Wishmonger	Creature	Unicorn Monger	4	3	3	{2}: Target creature gains protection from the color of its controller's choice until end of turn. Any player may activate this ability.	MMQ
Akoum Stonewaker	Creature	Human Shaman	2	2	1	Landfall — Whenever a land enters the battlefield under your control, you may pay {2}{R}. If you do, put a 3/1 red Elemental creature token with trample and haste onto the battlefield. Exile that token at the beginning of the next end step.	BFZ
Caller of the Claw	Creature	Elf	3	2	2	Flash When Caller of the Claw enters the battlefield, put a 2/2 green Bear creature token onto the battlefield for each nontoken creature put into your graveyard from the battlefield this turn.	LGN
Wild Wurm	Creature	Wurm	4	5	4	When Wild Wurm enters the battlefield, flip a coin. If you lose the flip, return Wild Wurm to its owner's hand.	TMP
Predatory Sliver	Creature	Sliver	2	1	1	Sliver creatures you control get +1/+1.	M14
Wayward Soul	Creature	Spirit	4	3	2	Flying {U}: Put Wayward Soul on top of its owner's library.	EXO BTD TPR
Maro	Creature	Elemental	4	*	*	Maro's power and toughness are each equal to the number of cards in your hand.	MIR 6ED 7ED 8ED 9ED
Faceless Devourer	Creature	Nightmare Horror	3	2	1	Shadow (This creature can block or be blocked by only creatures with shadow.) When Faceless Devourer enters the battlefield, exile another target creature with shadow. When Faceless Devourer leaves the battlefield, return the exiled card to the battlefield under its owner's control.	TSP
Nectar Faerie	Creature	Faerie Wizard	2	1	1	Flying {B}, {T}: Target Faerie or Elf gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)	LRW
Bane Alley Broker	Creature	Human Rogue	3	0	3	{T}: Draw a card, then exile a card from your hand face down. You may look at cards exiled with Bane Alley Broker. {U}{B}, {T}: Return a card exiled with Bane Alley Broker to its owner's hand.	GTC
Selenia, Dark Angel	Creature	Angel	5	3	3	Flying Pay 2 life: Return Selenia, Dark Angel to its owner's hand.	TMP TPR
Workhorse	Artifact Creature	Horse	6	0	0	Workhorse enters the battlefield with four +1/+1 counters on it. Remove a +1/+1 counter from Workhorse: Add {1} to your mana pool.	EXO
Harvest Wurm	Creature	Wurm	2	3	2	When Harvest Wurm enters the battlefield, sacrifice it unless you return a basic land card from your graveyard to your hand.	WTH
Mind Raker	Creature	Eldrazi Processor	4	3	3	Devoid (This card has no color.) When Mind Raker enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, each opponent discards a card.	BFZ
Goblin Matron	Creature	Goblin	3	1	1	When Goblin Matron enters the battlefield, you may search your library for a Goblin card, reveal that card, and put it into your hand. If you do, shuffle your library.	PO2 USG ATH 7ED EVG VMA DD3_EVG
Scaled Hulk	Creature	Spirit	6	4	4	Whenever you cast a Spirit or Arcane spell, Scaled Hulk gets +2/+2 until end of turn.	BOK
Cromat	Creature	Illusion	5	5	5	{W}{B}: Destroy target creature blocking or blocked by Cromat. {U}{R}: Cromat gains flying until end of turn. {B}{G}: Regenerate Cromat. {R}{W}: Cromat gets +1/+1 until end of turn. {G}{U}: Put Cromat on top of its owner's library.	APC
Ondu Greathorn	Creature	Beast	4	2	3	First strike Landfall — Whenever a land enters the battlefield under your control, Ondu Greathorn gets +2/+2 until end of turn.	BFZ
Skitterskin	Creature	Eldrazi Drone	4	4	3	Devoid (This card has no color.) Skitterskin can't block. {1}{B}: Regenerate Skitterskin. Activate this ability only if you control another colorless creature.	BFZ
D'Avenant Archer	Creature	Human Soldier Archer	3	1	2	{T}: D'Avenant Archer deals 1 damage to target attacking or blocking creature.	LEG CHR 5ED 6ED ME3
Voracious Cobra	Creature	Snake	4	2	2	First strike Whenever Voracious Cobra deals combat damage to a creature, destroy that creature.	INV
Benalish Missionary	Creature	Human Cleric	1	1	1	{1}{W}, {T}: Prevent all combat damage that would be dealt by target blocked creature this turn.	WTH
Longshot Squad	Creature	Hound Archer	4	3	3	Outlast {1}{G} ({1}{G}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.) Each creature you control with a +1/+1 counter on it has reach. (A creature with reach can block creatures with flying.)	KTK
Thieving Magpie	Creature	Bird	4	1	3	Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever Thieving Magpie deals damage to an opponent, draw a card.	UDS 7ED 8ED 9ED 10E DPA
Flowstone Channeler	Creature	Human Spellshaper	3	2	2	{1}{R}, {T}, Discard a card: Target creature gets +1/-1 and gains haste until end of turn.	TSP
Wanderbrine Rootcutters	Creature	Merfolk Rogue	4	3	3	Wanderbrine Rootcutters can't be blocked by green creatures.	SHM
Purraj of Urborg	Creature	Cat Warrior	5	2	3	Purraj of Urborg has first strike as long as it's attacking. Whenever a player casts a black spell, you may pay {B}. If you do, put a +1/+1 counter on Purraj of Urborg.	MIR
Sliver Legion	Creature	Sliver	5	7	7	All Sliver creatures get +1/+1 for each other Sliver on the battlefield.	FUT
Kiln Fiend	Creature	Elemental Beast	2	1	2	Whenever you cast an instant or sorcery spell, Kiln Fiend gets +3/+0 until end of turn.	ROE DDJ
Standing Army	Creature	Human Soldier	4	2	4	As long as you're standing, Standing Army has vigilance. (Attacking doesn't cause it to tap.)	UNH
Guardian Shield-Bearer	Creature	Human Soldier	2	2	1	Megamorph {3}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.) When Guardian Shield-Bearer is turned face up, put a +1/+1 counter on another target creature you control.	DTK
Sylvan Primordial	Creature	Avatar	7	6	8	Reach When Sylvan Primordial enters the battlefield, for each opponent, destroy target noncreature permanent that player controls. For each permanent destroyed this way, search your library for a Forest card and put that card onto the battlefield tapped. Then shuffle your library.	GTC
It That Betrays	Creature	Eldrazi	12	11	11	Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.) Whenever an opponent sacrifices a nontoken permanent, put that card onto the battlefield under your control.	ROE DDP
Thunder Wall	Creature	Wall	3	0	2	Defender (This creature can't attack.) Flying {U}: Thunder Wall gets +1/+1 until end of turn.	ICE ME2
Noble Vestige	Creature	Spirit	3	1	2	Flying {T}: Prevent the next 1 damage that would be dealt to target player this turn.	ZEN
Veteran Explorer	Creature	Human Soldier Scout	1	1	1	When Veteran Explorer dies, each player may search his or her library for up to two basic land cards and put them onto the battlefield. Then each player who searched his or her library this way shuffles it.	WTH CMD
Ironclaw Buzzardiers	Creature	Orc Scout	3	2	2	Ironclaw Buzzardiers can't block creatures with power 2 or greater. {R}: Ironclaw Buzzardiers gains flying until end of turn.	TSP
Pharika's Disciple	Creature	Centaur Warrior	4	2	3	Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.) Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)	ORI
Flamerush Rider	Creature	Human Warrior	5	3	3	Whenever Flamerush Rider attacks, put a token onto the battlefield tapped and attacking that's a copy of another target attacking creature. Exile the token at end of combat. Dash {2}{R}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)	pMEI FRF
Stormcrag Elemental	Creature	Elemental	6	5	5	Trample Megamorph {4}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)	DTK
Kruin Striker	Creature	Human Warrior	2	2	1	Whenever another creature enters the battlefield under your control, Kruin Striker gets +1/+0 and gains trample until end of turn.	AVR
Dack's Duplicate	Creature	Shapeshifter	4	0	0	You may have Dack's Duplicate enter the battlefield as a copy of any creature on the battlefield except it gains haste and dethrone. (Whenever it attacks the player with the most life or tied for most life, put a +1/+1 counter on it.)	CNS VMA
Johtull Wurm	Creature	Wurm	6	6	6	Whenever Johtull Wurm becomes blocked, it gets -2/-1 until end of turn for each creature blocking it beyond the first.	ICE 5ED ME2
Howling Banshee	Creature	Spirit	4	3	3	Flying When Howling Banshee enters the battlefield, each player loses 3 life.	M10 DDD M11 DD3_GVL
Xun Yu, Wei Advisor	Creature	Human Advisor	3	1	1	{T}: Target creature you control gets +2/+0 until end of turn. Activate this ability only during your turn, before attackers are declared.	PTK
Dust Stalker	Creature	Eldrazi	4	5	3	Devoid (This card has no color.) Haste At the beginning of each end step, if you control no other colorless creatures, return Dust Stalker to its owner's hand.	BFZ
Nissa's Chosen	Creature	Elf Warrior	2	2	3	If Nissa's Chosen would die, put it on the bottom of its owner's library instead.	pWPN ZEN
Order of the Sacred Bell	Creature	Human Monk	4	4	3		CHK 9ED
Foul Imp	Creature	Imp	2	2	2	Flying When Foul Imp enters the battlefield, you lose 2 life.	STH 7ED 9ED DDC DD3_DVD
Mundungu	Creature	Human Wizard	3	1	1	{T}: Counter target spell unless its controller pays {1} and 1 life.	VIS
Child of Alara	Creature	Avatar	5	6	6	Trample When Child of Alara dies, destroy all nonland permanents. They can't be regenerated.	CON V14
Ephara, God of the Polis	Enchantment Creature	God	4	6	5	Indestructible As long as your devotion to white and blue is less than seven, Ephara isn't a creature. At the beginning of each upkeep, if you had another creature enter the battlefield under your control last turn, draw a card.	BNG
Outland Colossus	Creature	Giant	5	6	6	Renown 6 (When this creature deals combat damage to a player, if it isn't renowned, put six +1/+1 counters on it and it becomes renowned.) Outland Colossus can't be blocked by more than one creature.	ORI
Howling Wolf	Creature	Wolf	4	2	2	When Howling Wolf enters the battlefield, you may search your library for up to three cards named Howling Wolf, reveal them, and put them into your hand. If you do, shuffle your library.	MMQ CNS
Bear Cub	Creature	Bear	2	2	2		PO2
Hurr Jackal	Creature	Hound	1	1	1	{T}: Target creature can't be regenerated this turn.	ARN 4ED
Midvast Protector	Creature	Human Wizard	4	2	3	When Midvast Protector enters the battlefield, target creature you control gains protection from the color of your choice until end of turn.	AVR
Dreamspoiler Witches	Creature	Faerie Wizard	4	2	2	Flying Whenever you cast a spell during an opponent's turn, you may have target creature get -1/-1 until end of turn.	LRW MMA
Leering Gargoyle	Creature	Gargoyle	3	2	2	Flying {T}: Leering Gargoyle gets -2/+2 and loses flying until end of turn.	MIR
Adaptive Automaton	Artifact Creature	Construct	3	2	2	As Adaptive Automaton enters the battlefield, choose a creature type. Adaptive Automaton is the chosen type in addition to its other types. Other creatures you control of the chosen type get +1/+1.	M12
Clockwork Steed	Artifact Creature	Horse	4	0	3	Clockwork Steed enters the battlefield with four +1/+0 counters on it. Clockwork Steed can't be blocked by artifact creatures. At end of combat, if Clockwork Steed attacked or blocked this combat, remove a +1/+0 counter from it. {X}, {T}: Put up to X +1/+0 counters on Clockwork Steed. This ability can't cause the total number of +1/+0 counters on Clockwork Steed to be greater than four. Activate this ability only during your upkeep.	HML 5ED ME2
Phytohydra	Creature	Plant Hydra	5	1	1	If damage would be dealt to Phytohydra, put that many +1/+1 counters on it instead.	RAV
Furnace Spirit	Creature	Spirit	3	1	1	Haste {R}: Furnace Spirit gets +1/+0 until end of turn.	STH
Varolz, the Scar-Striped	Creature	Troll Warrior	3	2	2	Each creature card in your graveyard has scavenge. The scavenge cost is equal to its mana cost. (Exile a creature card from your graveyard and pay its mana cost: Put a number of +1/+1 counters equal to that card's power on target creature. Scavenge only as a sorcery.) Sacrifice another creature: Regenerate Varolz, the Scar-Striped.	DGM
Lim-Dûl's Paladin	Creature	Human Knight	4	0	3	Trample At the beginning of your upkeep, you may discard a card. If you don't, sacrifice Lim-Dûl's Paladin and draw a card. Whenever Lim-Dûl's Paladin becomes blocked, it gets +6/+3 until end of turn. Whenever Lim-Dûl's Paladin attacks and isn't blocked, it assigns no combat damage to defending player this turn and that player loses 4 life.	ALL
Tuktuk Scrapper	Creature	Goblin Artificer Ally	4	2	2	Whenever Tuktuk Scrapper or another Ally enters the battlefield under your control, you may destroy target artifact. If that artifact is put into a graveyard this way, Tuktuk Scrapper deals damage to that artifact's controller equal to the number of Allies you control.	WWK
Split-Tail Miko	Creature	Fox Cleric	2	1	1	{W}, {T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.	BOK
Odious Trow	Creature	Troll	1	1	1	{1}{B/G}: Regenerate Odious Trow.	EVE
Dragonscale General	Creature	Human Warrior	4	2	3	At the beginning of your end step, bolster X, where X is the number of tapped creatures you control. (Choose a creature with the least toughness among creatures you control and put X +1/+1 counters on it.)	pMEI FRF
Pardic Firecat	Creature	Elemental Cat	4	2	3	Haste If Pardic Firecat is in a graveyard, effects from spells named Flame Burst count it as a card named Flame Burst.	ODY
Hokori, Dust Drinker	Creature	Spirit	4	2	2	Lands don't untap during their controllers' untap steps. At the beginning of each player's upkeep, that player untaps a land he or she controls.	BOK
Talas Researcher	Creature	Human Pirate Wizard	5	1	1	{T}: Draw a card. Activate this ability only during your turn, before attackers are declared.	PO2 ME4
Lone Missionary	Creature	Kor Monk	2	2	1	When Lone Missionary enters the battlefield, you gain 4 life.	ROE DDN
Dusk Imp	Creature	Imp	3	2	1	Flying	ODY 8ED 10E DDC DPA DD3_DVD
Chilling Apparition	Creature	Spirit	3	1	1	{B}: Regenerate Chilling Apparition. Whenever Chilling Apparition deals combat damage to a player, that player discards a card.	PCY
Barrenton Cragtreads	Creature	Kithkin Scout	4	3	3	Barrenton Cragtreads can't be blocked by red creatures.	SHM
Ill-Tempered Cyclops	Creature	Cyclops	4	3	3	Trample {5}{R}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)	THS
Citanul Woodreaders	Creature	Human Druid	3	1	4	Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.) When Citanul Woodreaders enters the battlefield, if it was kicked, draw two cards.	PLC MMA
Wall of Kelp	Creature	Plant Wall	2	0	3	Defender (This creature can't attack.) {U}{U}, {T}: Put a 0/1 blue Plant Wall creature token with defender named Kelp onto the battlefield.	HML ME2
Belfry Spirit	Creature	Spirit	5	1	1	Flying Haunt (When this creature dies, exile it haunting target creature.) When Belfry Spirit enters the battlefield or the creature it haunts dies, put two 1/1 black Bat creature tokens with flying onto the battlefield.	GPT
Mondronen Shaman	Creature	Human Werewolf Shaman	4	3	2	At the beginning of each upkeep, if no spells were cast last turn, transform Mondronen Shaman.	pLPA DKA
Alabaster Wall	Creature	Wall	3	0	4	Defender (This creature can't attack.) {T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.	MMQ
Vile Deacon	Creature	Human Cleric	4	2	2	Whenever Vile Deacon attacks, it gets +X/+X until end of turn, where X is the number of Clerics on the battlefield.	LGN
Mirror Wall	Creature	Wall	4	3	4	Defender (This creature can't attack.) {W}: Mirror Wall can attack this turn as though it didn't have defender.	JUD
Vengeful Dead	Creature	Zombie	4	3	2	Whenever Vengeful Dead or another Zombie dies, each opponent loses 1 life.	SCG
Tar Pitcher	Creature	Goblin Shaman	4	2	2	{T}, Sacrifice a Goblin: Tar Pitcher deals 2 damage to target creature or player.	LRW EVG MMA DD3_EVG
Roc of Kher Ridges	Creature	Bird	4	3	3	Flying	LEA LEB 2ED CED CEI 3ED ME4
Wandering Tombshell	Creature	Zombie Turtle	4	1	6		DTK
Monk Idealist	Creature	Human Monk Cleric	3	2	2	When Monk Idealist enters the battlefield, return target enchantment card from your graveyard to your hand.	USG
Everbark Shaman	Creature	Treefolk Shaman	5	3	5	{T}, Exile a Treefolk card from your graveyard: Search your library for up to two Forest cards and put them onto the battlefield tapped. Then shuffle your library.	MOR
Flameblast Dragon	Creature	Dragon	6	5	5	Flying Whenever Flameblast Dragon attacks, you may pay {X}{R}. If you do, Flameblast Dragon deals X damage to target creature or player.	ALA ARC M12
Felhide Brawler	Creature	Minotaur	2	2	2	Felhide Brawler can't block unless you control another Minotaur.	BNG
Elite Skirmisher	Creature	Human Soldier	3	3	1	Heroic — Whenever you cast a spell that targets Elite Skirmisher, you may tap target creature.	BNG
Lifebane Zombie	Creature	Zombie Warrior	3	3	1	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.) When Lifebane Zombie enters the battlefield, target opponent reveals his or her hand. You choose a green or white creature card from it and exile that card.	M14
Riftmarked Knight	Creature	Human Rebel Knight	3	2	2	Protection from black; flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) Suspend 3—{1}{W}{W} (Rather than cast this card from your hand, you may pay {1}{W}{W} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.) When the last time counter is removed from Riftmarked Knight while it's exiled, put a 2/2 black Knight creature token with flanking, protection from white, and haste onto the battlefield.	PLC
Balduvian Shaman	Creature	Human Cleric Shaman	1	1	1	{T}: Change the text of target white enchantment you control that doesn't have cumulative upkeep by replacing all instances of one color word with another. (For example, you may change "black creatures can't attack" to "blue creatures can't attack.") That enchantment gains "Cumulative upkeep {1}." (At the beginning of its controller's upkeep, that player puts an age counter on it, then sacrifices it unless he or she pays its upkeep cost for each age counter on it.)	ICE
Armored Warhorse	Creature	Horse	2	2	3		M12
Aven Windreader	Creature	Bird Soldier Wizard	5	3	3	Flying (This creature can't be blocked except by creatures with flying or reach.) {1}{U}: Target player reveals the top card of his or her library.	ODY 9ED 10E
Hyalopterous Lemure	Creature	Spirit	5	4	3	{0}: Hyalopterous Lemure gets -1/-0 and gains flying until end of turn.	ICE MED
Brood Sliver	Creature	Sliver	5	3	3	Whenever a Sliver deals combat damage to a player, its controller may put a 1/1 colorless Sliver creature token onto the battlefield.	LGN H09
Darksteel Myr	Artifact Creature	Myr	3	0	1	Indestructible (Damage and effects that say "destroy" don't destroy this creature. If its toughness is 0 or less, it's still put into its owner's graveyard.)	SOM
